FlightDateTime,Flight,Model,Variable,MEAN,MAX,MIN,MEDIAN,STD,SRC_WT_MEAN
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,EF,0.50256414476808,0.9041246079534155,0.0,0.5033414610881829,0.07094854969516261,0.41589669767181203
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,zeta,-1.5447082343274747,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,u_star,0.4447772419888357,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,Psi_M,1.1544281195452326,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,Psi_H,2.005650787572223,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,r_aH,42.12600152145259,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,r_bH,5.3148202587288935,9.414122929004648,1.1995770663505074,5.063555578464821,1.3450069954942263,4.5962116923854275
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,r_H,47.44082178018148,51.540124450457235,43.32557858780309,47.18955709991741,1.3450069954943769,39.92919133115847
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,L,-39.02443777896233,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,H,182.87403574537436,475.3151629217999,37.29082738121927,182.91327960035258,23.361630052262527,155.30078287744388
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,LE,203.45615837266882,380.74074571522283,0.0,203.2584315688901,29.619506919979965,168.01412955296797
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,ET,0.29715644702359556,0.5560881918679189,0.0,0.2968676585447315,0.04326056045357358,0.24539184356500215
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Brutsaert,EF,0.5255373597506195,0.9084494626619302,0.0,0.5262758142609468,0.06778493300485183,0.4353832213646848
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Bowen,zeta,,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Bowen,u_star,,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Bowen,Psi_M,,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Bowen,Psi_H,,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Bowen,r_aH,,,,,,
